"","investigator","sampsize","term1.coef","term1.se","term1.pval","term2.coef","term2.se","term2.pval","type","min.biomass","max.biomass","intercept","form"
"1","Bartha",256,-0.653612970249505,0.192416737821225,0.000681635070474982,NA,NA,NA,"poisson",1.75434833571102,3.01184945264784,3.8809662437292,"NEG"
"2","Beierkuhnlein",373,0.151902396391975,0.0529502323875412,0.0041206251328928,NA,NA,NA,"poisson",0.845098040014257,3.30236556694266,2.04803200584319,"POS"
"3","Boldgiv",382,9.79095794792051,3.07577843386952,0.00145634062673203,-2.10026303863745,0.625719699706152,0.000789198161342043,"poisson",2.12031064263646,2.92366877680772,-8.66315197015689,"CD"
"4","Bork",384,-0.358093383747037,0.145579489177617,0.0139022558023807,NA,NA,NA,"poisson",1.92012332629072,3.1723985779393,2.93391721059814,"NEG"
"5","Cahill",383,5.4726014332557,1.51597369906508,0.000306246549358829,-1.21802485961236,0.313540101561647,0.000102435306556703,"poisson",1.88930170250631,2.91524149730619,-3.49637850146651,"CD"
"6","Cleland",128,NA,NA,NA,NA,NA,NA,"poisson",1.97689995098294,2.81000388177927,1.85624809962483,"NS"
"7","Csergo",253,NA,NA,NA,NA,NA,NA,"poisson",2.44090908206522,2.88536122003151,3.37696077728013,"NS"
"8","Diaz",256,4.10981769227094,0.995745139944045,3.66921207687824e-05,-0.799460886823644,0.170474597548103,2.7371441144409e-06,"poisson",2.28330122870355,3.5165353738958,-2.18243125402802,"CD"
"9","Fidelis",256,NA,NA,NA,NA,NA,NA,"poisson",2.40779866084079,3.37031319782599,1.51156749831475,"NS"
"10","Foster",256,-0.254747255221067,0.120703581936894,0.0348136391742826,NA,NA,NA,"poisson",1.88626505902976,3.24629665093593,3.00716538103785,"NEG"
"11","Fraser",894,-0.318845791457892,0.0911949806107294,0.000471742853761604,NA,NA,NA,"poisson",1.71301987245284,3.27188108605854,2.80662274012358,"NEG"
"12","Henry",128,NA,NA,NA,NA,NA,NA,"poisson",2.27353588481539,2.82475501254447,2.99971469068914,"NS"
"13","Hohn",256,NA,NA,NA,NA,NA,NA,"poisson",2.38453261549425,2.83632411570675,2.81081605089259,"NS"
"14","Jentsch",382,NA,NA,NA,NA,NA,NA,"poisson",1.62843402913944,2.97777139836676,3.06664553402066,"NS"
"15","Jouri",704,2.13864385325517,0.568999936713634,0.000170865917871661,-0.395330684942812,0.116485891491364,0.000689281413399189,"poisson",1.04446136081066,3.12819489542426,-0.410595240454866,"CD"
"16","Long",256,3.70015706577425,0.951810869830708,0.000101285358177906,-0.820439045080871,0.20495614849387,6.25448406993456e-05,"poisson",1.51851393987789,2.92085424459333,-1.363764826635,"CD"
"17","Manning",256,NA,NA,NA,NA,NA,NA,"poisson",1.76075410950582,3.14793589602438,2.79149580766244,"NS"
"18","Mitchell",384,NA,NA,NA,NA,NA,NA,"poisson",2.49415459401844,3.75678819876812,1.34526654497046,"NS"
"19","Naseri",380,-0.206092946448599,0.101346682657475,0.0419975849831218,NA,NA,NA,"poisson",1.64443858946784,2.86443987940533,2.43900034117407,"NEG"
"20","Overbeck",128,NA,NA,NA,NA,NA,NA,"poisson",1.66143405039392,2.59517644575204,3.67926332858411,"NS"
"21","Pither",256,-0.323009383225146,0.164402357896086,0.0494432850681478,NA,NA,NA,"poisson",1.95520653754194,2.91719030851156,3.39392541343051,"NEG"
"22","Pringle",382,2.2936368408449,0.813792091641379,0.00482552912497158,-0.407678971566651,0.153378889529175,0.00786091120684702,"poisson",0.477121254719662,3.45270622651103,-1.53399064513273,"CD"
"23","Sternberg",384,2.66357365147453,0.524876237672373,3.88169240302732e-07,-0.545779454455315,0.1245272627472,1.1715775657311e-05,"poisson",1.32633586092875,2.84348194303996,-0.438659327978212,"CD"
"24","Sugiyama",378,NA,NA,NA,NA,NA,NA,"poisson",1.53007156883738,3.12006284105835,2.4484928108522,"NS"
"25","vanRooyen",384,NA,NA,NA,NA,NA,NA,"poisson",1.78746047451842,3.16890977912236,2.40541972488866,"NS"
"26","Wellstein",384,NA,NA,NA,NA,NA,NA,"poisson",2.01703333929878,2.92788341033071,3.39770636275838,"NS"
"27","Wilson",128,NA,NA,NA,NA,NA,NA,"poisson",2.92861089768901,3.26019068326996,3.4732498863456,"NS"
"28","Zobel",640,5.44173597356547,1.57902657427813,0.000568403397775689,-1.17749495982219,0.31383058245488,0.000175423633554178,"poisson",2.20417426607352,3.29631673756168,-3.29622261634885,"CD"
